Link Produto,Nome do produto,Quantidade de Vendas,Valor
//pt.aliexpress.com/item/1005005862152534.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-0&pdp_npi=4%40dis%21BRL%21147.46%2149.73%21%21%21198.47%2166.94%21%402101c5c317162976992537521ef88b%2112000034612831070%21sea%21BR%210%21AB&curPageLogUid=ntBWtVa4OS8e&utparam-url=scene%3Asearch%7Cquery_from%3A,"Unidades de Estado Sólido para Laptop e Desktop, Disco Rígido, 128GB, 256GB, 360GB, 480GB, 180GB, 2.5 SSD, 2TB, 1TB, 240GB, 120GB ",,"R$49,73"
//pt.aliexpress.com/item/1005005802879951.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-1&pdp_npi=4%40dis%21BRL%21753.90%21230.74%21%21%21140.07%2142.87%21%402101c5c317162976992537521ef88b%2112000034404370617%21sea%21BR%210%21AB&curPageLogUid=9Whdl8xxAeo9&utparam-url=scene%3Asearch%7Cquery_from%3A,XrayDisk M.2 SSD PCIe NVME 128GB 256GB 512GB 1TB Gen3 * 4 Solid State Drive 2280 Disco Rígido Interno HDD para Laptop Desktop ,,"R$230,74"
//pt.aliexpress.com/item/1005005802997075.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-2&pdp_npi=4%40dis%21BRL%21360.29%21116.52%21%21%2166.94%2121.65%21%402101c5c317162976992537521ef88b%2112000034404482112%21sea%21BR%210%21AB&curPageLogUid=j9RF03grV5IT&utparam-url=scene%3Asearch%7Cquery_from%3A,"Xraydisk Sata3 Ssd 60GB 128GB 240GB 120GB 256GB 480GB 512gb 1TB Hdd 2.5 Disco rígido 2,5 ""unidade interna de estado sólido ",,"R$116,52"
//pt.aliexpress.com/item/1005005067044812.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&aem_p4p_detail=202405210621394237018486921920000206293&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-3&pdp_npi=4%40dis%21BRL%21461.26%21181.75%21%21%2185.70%2133.77%21%402101c5c317162976992537521ef88b%2112000031508487577%21sea%21BR%210%21AB&curPageLogUid=Swavt547wH9J&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202405210621394237018486921920000206293_2,"Kingston-SSD interno a400, unidade de estado sólido, 120gb, 240gb, 480gb, 960gb, 2,5 polegadas, sata iii, hdd, para laptop, desktop, pc ",,"R$181,75"
//pt.aliexpress.com/item/1005005367572468.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-4&pdp_npi=4%40dis%21BRL%21146.23%2149.27%21%21%21196.81%2166.31%21%402101c5c317162976992537521ef88b%2112000032763201164%21sea%21BR%210%21AB&curPageLogUid=DVh8COUSr3Kw&utparam-url=scene%3Asearch%7Cquery_from%3A,"Goldenfir-Disco rígido de estado sólido para laptop, SSD 128GB, SATA III, 512GB, 480GB, 256GB, HD, 1TB, 500GB, 2.5 ",,"R$49,27"
//pt.aliexpress.com/item/1005005589861667.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-5&pdp_npi=4%40dis%21BRL%21146.23%2149.27%21%21%21196.81%2166.31%21%402101c5c317162976992537521ef88b%2112000033665184532%21sea%21BR%210%21AB&curPageLogUid=DrFrrsm9EsI4&utparam-url=scene%3Asearch%7Cquery_from%3A,"Goldenfir-Solid State Drive SSD, 128GB, 256GB, 512GB, 720GB, 1TB disco rígido, menor preço ",,"R$49,27"
//pt.aliexpress.com/item/1005004995913275.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-6&pdp_npi=4%40dis%21BRL%21431.30%21145.96%21%21%21580.48%21196.44%21%402101c5c317162976992537521ef88b%2112000031311986855%21sea%21BR%210%21AB&curPageLogUid=3bCemHZk0mOY&utparam-url=scene%3Asearch%7Cquery_from%3A,"Disco rígido interno XrayDisk, Solid State Drive, Sata3, 2.5 "", SSD, 240GB, 256GB, 480GB, 512GB, 1TB ",,"R$145,96"
//pt.aliexpress.com/item/1005006336556835.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&aem_p4p_detail=202405210621394237018486921920000206293&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-7&pdp_npi=4%40dis%21BRL%21302.77%21125.33%21%21%21407.50%21168.68%21%402101c5c317162976992537521ef88b%2112000036804673896%21sea%21BR%210%21AB&curPageLogUid=CXkqRofs1mnJ&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202405210621394237018486921920000206293_4,"Samsung-SSD interno 870, 1 também, 2 também, 250gb, 500gb, disco rígido, sata3, 2,5 polegadas, para laptop, desktop, pc, mlc ",,"R$125,33"
//pt.aliexpress.com/item/1005006854990132.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-8&pdp_npi=4%40dis%21BRL%21658.79%21329.15%21%21%21122.40%2161.15%21%402101c5c317162976992537521ef88b%2112000038523712370%21sea%21BR%210%21AB&curPageLogUid=L17XN749p6nO&utparam-url=scene%3Asearch%7Cquery_from%3A,"FIREBAT-Solid State Disk Drive, SSD SATA3, 256GB, 512GB, 1 TB, 2,5 polegadas, Laptop, Notebook, Desktop, Original ",,"R$329,15"
//pt.aliexpress.com/item/1005005872561382.html?algo_pvid=875f0e4c-2b9f-4b48-9627-352bd9d70baf&algo_exp_id=875f0e4c-2b9f-4b48-9627-352bd9d70baf-9&pdp_npi=4%40dis%21BRL%21357.60%2194.03%21%21%2166.44%2117.47%21%402101c5c317162976992537521ef88b%2112000034652176996%21sea%21BR%210%21AB&curPageLogUid=NwFmzNYTKKpU&utparam-url=scene%3Asearch%7Cquery_from%3A,"ADATA-Unidade de estado sólido interna, SSD, SATA III, HDD, disco rígido para laptop, desktop, PC, SP580, 120GB, 240GB, 480GB, 960GB, 2,5"" ",197  vendido(s),"R$94,03"
